,id,city,district,year,month,hour,weekday,injury_level,collision,movement,light_conditions,bicycle,car,pedestrian,motorbike,truck,other_vehicle,road_conditions,longitude,latitude
56,49219,Berlin,8,2019,1,3,4,3,3,6,2,0,1,0,0,1,0,1,"13,44937","52,46369"
57,49222,Berlin,2,2019,1,4,3,3,2,6,2,0,1,0,0,0,0,1,"13,38109","52,49919"
58,49223,Berlin,6,2019,1,11,3,2,5,2,0,0,1,0,0,0,0,1,"13,32841","52,46027"
59,49228,Berlin,4,2019,1,5,3,3,9,1,2,0,1,0,0,0,0,1,"13,27789","52,50207"
60,49229,Berlin,1,2019,2,10,4,1,5,2,0,1,0,0,0,1,0,0,"13,41638","52,522"
61,49232,Berlin,2,2019,1,2,3,3,2,6,2,0,1,0,0,0,0,1,"13,38753","52,49793"
62,49233,Berlin,7,2019,1,21,7,3,2,6,2,0,1,0,0,0,0,1,"13,38549","52,46741"
63,49236,Berlin,7,2019,1,14,6,3,5,2,0,1,1,0,0,0,0,0,"13,37779","52,43378"
64,49238,Berlin,9,2019,1,2,3,3,2,4,2,0,1,1,0,0,0,1,"13,46005","52,49285"
65,49239,Berlin,3,2019,2,18,5,3,2,6,2,0,1,0,0,0,0,0,"13,42924","52,53736"
66,49248,Berlin,3,2019,2,15,6,3,6,2,0,0,1,1,0,0,0,0,"13,44459","52,54534"
67,49250,Berlin,4,2019,3,12,6,3,5,2,0,0,0,0,1,0,1,0,"13,32294","52,51241"
68,49254,Berlin,2,2019,2,20,4,3,2,6,2,1,0,0,0,0,0,0,"13,46239","52,51489"
69,49258,Berlin,7,2019,1,23,7,2,9,1,2,0,1,0,0,0,0,1,"13,40092","52,46531"
70,49264,Berlin,7,2019,2,6,2,3,2,6,0,0,1,0,0,0,1,0,"13,38575","52,46988"
71,49273,Berlin,1,2019,2,16,2,3,5,7,0,0,1,0,0,0,0,0,"13,36735","52,55143"
72,49277,Berlin,3,2019,2,18,4,3,6,4,1,1,0,1,0,0,0,0,"13,41281","52,54481"
73,49283,Berlin,4,2019,1,13,6,3,2,6,0,0,1,0,0,0,0,0,"13,28227","52,49798"
74,49286,Berlin,3,2019,2,19,3,3,1,5,2,1,1,0,0,0,0,0,"13,42978","52,53717"
75,49289,Berlin,1,2019,3,14,7,3,4,6,0,1,1,0,0,0,0,1,"13,38082","52,50979"
76,49297,Berlin,6,2019,1,19,5,2,6,4,2,0,1,1,0,0,0,1,"13,15272","52,41875"
77,49299,Berlin,2,2019,2,13,5,3,5,3,0,1,0,0,0,0,0,0,"13,44752","52,50354"
78,49303,Berlin,7,2019,2,16,3,3,2,6,0,0,1,0,0,0,0,0,"13,35583","52,47784"
79,49307,Berlin,3,2019,1,12,3,3,5,2,0,1,0,0,0,1,0,0,"13,439","52,54109"
